,PlotID,PlotTR,PlotTY2,biomassMG
1,1CNM1,Control,uncut,185.1822
2,1CNM10,Control,uncut,176.7354213
3,1CNM2,Control,uncut,137.711933
4,1CNM3,Control,uncut,200.2186724
5,1CNM4,Control,uncut,158.3245056
6,1CNM5,Control,uncut,134.9619837
7,1CNM6,Control,uncut,158.0545956
8,1CNM7,Control,uncut,177.4192934
9,1CNM8,Control,uncut,186.5554695
10,1CNM9,Control,uncut,129.3662265
11,1RLGQ11,Resilience,gap,146.2701692
12,1RLGQ9,Resilience,gap,3.178062225
13,1RLGT1,Resilience,gap,157.6775452
14,1RLGT5,Resilience,gap,9.950393156
15,1RLM1,Resilience,sts,153.8701554
16,1RLM2,Resilience,sts,198.7372243
17,1RLM3,Resilience,sts,92.15017489
18,1RLM4,Resilience,sts,51.07781975
19,1RLM5,Resilience,sts,173.1271819
20,1RLM6,Resilience,sts,247.7952839
21,1RLRQ16,Resilience,uncut,163.2143666
22,1RLRQ2,Resilience,uncut,170.7525542
23,1RLRT5,Resilience,uncut,176.431319
24,1RLRT9,Resilience,uncut,201.5054851
25,1RTM1,Resistance,thin7080,139.1700824
26,1RTM10,Resistance,thin7080,114.6353902
27,1RTM2,Resistance,thin7080,206.3493115
28,1RTM3,Resistance,thin7080,195.4068403
29,1RTM4,Resistance,thin7080,134.2638418
30,1RTM5,Resistance,thin7080,136.1680644
31,1RTM6,Resistance,thin7080,145.9173396
32,1RTM7,Resistance,thin7080,311.4597214
33,1RTM8,Resistance,thin7080,173.1050908
34,1RTM9,Resistance,thin7080,208.6837126
35,1TNGA2,Transition,gap,32.85463755
36,1TNGQ4,Transition,gap,20.10476286
37,1TNGQ6,Transition,gap,5.731398497
38,1TNM1,Transition,thin7080,205.8709009
39,1TNM2,Transition,thin7080,134.3932054
40,1TNM3,Transition,thin7080,130.4422505
41,1TNM4,Transition,thin7080,99.89113579
42,1TNM5,Transition,thin7080,116.078827
43,1TNM6,Transition,thin7080,219.3449481
44,1TNM7,Transition,thin7080,123.2557376
45,1TNRQ4,Transition,uncut,195.2257181
46,1TNRQ5,Transition,uncut,154.7889231
47,1TNRQ7,Transition,uncut,135.0320931
48,1TNRT2,Transition,uncut,152.7011693
49,1TNRT3,Transition,uncut,125.927701
50,2CNM1,Control,uncut,111.8178031
51,2CNM10,Control,uncut,243.1586775
52,2CNM11,Control,uncut,135.6826503
53,2CNM12,Control,uncut,188.7335802
54,2CNM2,Control,uncut,205.4716692
55,2CNM3,Control,uncut,95.32230256
56,2CNM4,Control,uncut,166.9363666
57,2CNM5,Control,uncut,175.0868721
58,2CNM8,Control,uncut,146.5546996
59,2CNM9,Control,uncut,208.0840804
60,2RLGQ15,Resilience,gap,7.811942839
61,2RLGQ16,Resilience,gap,6.580052855
62,2RLGT3,Resilience,gap,11.08102694
63,2RLM1,Resilience,sts,151.5934238
64,2RLM2,Resilience,sts,163.7503519
65,2RLM3,Resilience,sts,151.7062075
