"","spp","dbh"
"38","ACSA",30.8
"39","BEAL",16.2
"40","BEAL",20.3
"41","ACSA",11.5
"42","ACSA",16.7
"43","ACRU",12.7
"44","ACRU",14.8
"45","ACRU",14.3
"46","FAGR",14.6
"47","ACSA",17
"48","ACSA",17.8
"49","ACRU",17.4
"50","ACRU",23
"51","ACSA",23.4
"52","ACSA",34
"53","BEAL",16.4
"54","ACSA",17.5
"55","BECO",10.6
"56","FAGR",19.2
"57","ACRU",15.3
"58","FAGR",12.3
"59","ACSA",11.9
"60","ACSA",26.6
"61","ACSA",38.2
"62","FAGR",12.5
"63","BEAL",12.7
"64","FAGR",16.1
"65","FAGR",13.5
"66","BEAL",12.5
