"","spp","dbh"
"482","ACSA",13.2
"483","ACSA",12.3
"484","ACSA",12.4
"485","ACSA",15.6
"486","ACSA",16.8
"487","ACSA",18.3
"488","BEAL",13.8
"489","BEAL",25.4
"490","ACSA",16.6
"491","BEAL",12.6
"492","ACSA",19.6
"493","BEAL",21
"494","BEAL",20.6
"495","ACSA",16.6
"496","ACSA",14.5
"497","ACSA",10.4
"498","ACSA",19.6
"499","ACSA",16.7
"500","ACSA",11.3
"501","ACSA",21.1
"502","ACSA",12.7
"503","ACSA",11.3
"504","BEAL",20.1
"505","BEAL",15.9
"506","BEAL",12.2
"507","ACSA",32.7
"508","ACSA",39.1
"509","ACSA",25.3
"510","ACSA",30
