"","Block","m3ha","treat","year"
"1","1",11.4182261226298,"Control","preharvest"
"2","1",7.32113934873949,"Control","preharvest"
"3","1",6.60302736922438,"Control","preharvest"
"4","1",12.6722117667673,"Control","preharvest"
"5","1",7.9896631167615,"Control","preharvest"
"6","1",26.8173309779493,"Control","preharvest"
"7","1",15.983322113181,"Control","preharvest"
"8","1",48.7385957690875,"Control","preharvest"
"9","2",2.83772961939286,"Control","preharvest"
"10","2",4.24922497890042,"Control","preharvest"
"11","2",9.90650624055361,"Control","preharvest"
"12","2",3.89156099640077,"Control","preharvest"
"13","2",13.2139154853169,"Control","preharvest"
"14","2",16.1104642349209,"Control","preharvest"
"15","2",3.02761578592599,"Control","preharvest"
"16","2",10.1108856591248,"Control","preharvest"
"17","2",22.9761715619884,"Control","preharvest"
"18","3",81.9000516839964,"Control","preharvest"
"19","3",96.2481310122318,"Control","preharvest"
"20","3",22.2175276064346,"Control","preharvest"
"21","3",4.96100469010509,"Control","preharvest"
"22","3",28.6589729567031,"Control","preharvest"
"23","3",35.6730518809064,"Control","preharvest"
"24","3",10.9886690593987,"Control","preharvest"
"25","3",33.4460222300043,"Control","preharvest"
"26","3",11.9887853328078,"Control","preharvest"
"27","3",19.6518671703107,"Control","preharvest"
"28","4",39.1101416135858,"Control","preharvest"
"29","4",21.3417148517297,"Control","preharvest"
"30","4",32.7143322659684,"Control","preharvest"
"31","4",340.731507955259,"Control","preharvest"
"32","4",12.699527862134,"Control","preharvest"
"33","4",13.4568616932099,"Control","preharvest"
"34","4",13.4014816397535,"Control","preharvest"
"35","4",14.9801816357685,"Control","preharvest"
"36","4",46.0763682412295,"Control","preharvest"
"37","4",97.004591426989,"Control","preharvest"
"38","1",30.2739470242032,"Resistance","preharvest"
"39","1",46.3385787378013,"Resistance","preharvest"
"40","1",5.52132309394658,"Resistance","preharvest"
"41","1",54.4369494331266,"Resistance","preharvest"
"42","1",30.7368140022879,"Resistance","preharvest"
"43","1",3.34401084736799,"Resistance","preharvest"
"44","1",73.3669707691598,"Resistance","preharvest"
"45","1",139.873867746508,"Resistance","preharvest"
"46","2",5.74039228322762,"Resistance","preharvest"
"47","2",31.901105249349,"Resistance","preharvest"
"48","2",9.7922633860702,"Resistance","preharvest"
"49","2",14.9818629621819,"Resistance","preharvest"
"50","2",30.4483846395997,"Resistance","preharvest"
"51","2",36.1857035891559,"Resistance","preharvest"
"52","2",8.1756680395285,"Resistance","preharvest"
"53","2",6.57981633055545,"Resistance","preharvest"
"54","3",180.144130044233,"Resistance","preharvest"
"55","3",39.2550195454469,"Resistance","preharvest"
"56","3",58.7591701808608,"Resistance","preharvest"
"57","3",36.388216080346,"Resistance","preharvest"
"58","3",53.4839212169984,"Resistance","preharvest"
"59","3",29.4730770288758,"Resistance","preharvest"
"60","3",31.3976244124456,"Resistance","preharvest"
"61","3",29.4639716637536,"Resistance","preharvest"
"62","4",3.14429874724971,"Resistance","preharvest"
"63","4",59.4949633819772,"Resistance","preharvest"
"64","4",29.6959037279445,"Resistance","preharvest"
"65","4",23.979290203993,"Resistance","preharvest"
"66","4",4.60181222904775,"Resistance","preharvest"
"67","4",32.5323013874514,"Resistance","preharvest"
"68","4",34.8515346877289,"Resistance","preharvest"
