,PlotID,PlotTR,PlotTY2,DSI,SUM,YBprop,SMprop
1,1CNM1,Control,uncut,0.036817654,240000,0,1
2,1CNM10,Control,uncut,0.044946642,1040000,0,1
3,1CNM2,Control,uncut,0.015634006,50000,0,0
4,1CNM3,Control,uncut,0.03316777,1110000,0.009009009,0.990990991
5,1CNM4,Control,uncut,0.065326633,1810000,0,1
6,1CNM5,Control,uncut,-0.098930041,70000,0,0
7,1CNM6,Control,uncut,0.000768156,540000,0,0.944444444
8,1CNM7,Control,uncut,0.028332372,280000,0,0.857142857
9,1CNM8,Control,uncut,0.023301486,610000,0,0.901639344
10,1CNM9,Control,uncut,0.010887772,2170000,0,1
11,1RLGQ11,Resilience,gap,0.310193933,610000,0.032786885,0.770491803
12,1RLGQ9,Resilience,gap,0.878994709,150000,0,0
13,1RLGT1,Resilience,gap,0.03431912,660000,0.303030303,0.696969697
14,1RLGT5,Resilience,gap,0.853655589,140000,0.714285714,0
15,1RLM1,Resilience,sts,0.323473541,1850000,0,0.881081081
16,1RLM2,Resilience,sts,0.080151134,1070000,0.785046729,0.214953271
17,1RLM3,Resilience,sts,0.054132231,170000,0.058823529,0.941176471
18,1RLM4,Resilience,sts,0.495110701,360000,0.277777778,0.638888889
19,1RLM5,Resilience,sts,0.348710602,710000,0.14084507,0.76056338
20,1RLM6,Resilience,sts,0.03237782,1140000,0,0.912280702
21,1RLRQ16,Resilience,uncut,0.051505017,260000,0,0.846153846
22,1RLRQ2,Resilience,uncut,0.083262065,230000,0,0.869565217
23,1RLRT5,Resilience,uncut,0.249048626,90000,0,0
24,1RLRT9,Resilience,uncut,-0.020147783,1740000,0.005747126,0.965517241
25,1RTM1,Resistance,thin7080,0.303295622,10000,0,0
26,1RTM10,Resistance,thin7080,NA,1730000,0,0.976878613
27,1RTM2,Resistance,thin7080,0.276990099,3320000,0,0.972891566
28,1RTM3,Resistance,thin7080,0.134752128,180000,0,0.555555556
29,1RTM4,Resistance,thin7080,0.163815789,1110000,0,0.972972973
30,1RTM5,Resistance,thin7080,0.401908589,3710000,0.345013477,0.628032345
31,1RTM6,Resistance,thin7080,0.164029181,2220000,0,0.995495495
32,1RTM7,Resistance,thin7080,0.287507163,1440000,0.048611111,0.694444444
33,1RTM8,Resistance,thin7080,0.081149663,560000,0,0.785714286
34,1RTM9,Resistance,thin7080,0.107486631,440000,0,0.954545455
35,1TNGA1,Transition,gap,0.886405006,340000,0.352941176,0
36,1TNGA2,Transition,gap,0.772574703,460000,0.195652174,0.065217391
37,1TNGQ4,Transition,gap,0.808427602,80000,0,0.875
38,1TNGQ6,Transition,gap,0.859866962,140000,0,0
39,1TNM1,Transition,thin7080,0.099742666,1900000,0,0.968421053
40,1TNM2,Transition,thin7080,0.295939982,240000,0,0.125
41,1TNM3,Transition,thin7080,0.266454488,1440000,0,0.958333333
42,1TNM4,Transition,thin7080,0.385907692,1280000,0.7734375,0.140625
43,1TNM5,Transition,thin7080,0.410108644,230000,0.565217391,0
44,1TNM6,Transition,thin7080,0.000604933,150000,0.266666667,0
45,1TNM7,Transition,thin7080,0.401417666,1560000,0.012820513,0.955128205
46,1TNRQ4,Transition,uncut,0.103722334,1290000,0,1
47,1TNRQ5,Transition,uncut,0.057938719,2150000,0.060465116,0.930232558
48,1TNRQ7,Transition,uncut,0.032164179,1020000,0,0.990196078
49,1TNRT2,Transition,uncut,0.106213965,600000,0.033333333,0.783333333
50,1TNRT3,Transition,uncut,0.043589744,1860000,0,0.983870968
51,2CNM1,Control,uncut,-0.067282051,130000,0,0.461538462
52,2CNM10,Control,uncut,0.062378976,1330000,0,0.909774436
53,2CNM11,Control,uncut,-0.031885246,1040000,0,1
54,2CNM12,Control,uncut,0.082993946,140000,0,0
55,2CNM2,Control,uncut,0.066817269,740000,0.013513514,0.851351351
56,2CNM3,Control,uncut,0.127287066,1030000,0,0
57,2CNM4,Control,uncut,0.152723971,570000,0,1
58,2CNM5,Control,uncut,0.075979448,520000,0,0.903846154
59,2CNM8,Control,uncut,0.140365774,640000,0,1
60,2CNM9,Control,uncut,0.038414006,1270000,0,1
61,2RLGQ15,Resilience,gap,0.867605004,320000,0,0.8125
62,2RLGQ16,Resilience,gap,0.89805154,430000,0,0
63,2RLGT1,Resilience,gap,0.902987862,1730000,0.809248555,0.057803468
64,2RLGT3,Resilience,gap,0.863819536,120000,0,0
65,2RLM1,Resilience,sts,0.156621542,410000,0,0.87804878
66,2RLM2,Resilience,sts,0.076859504,500000,0,0
67,2RLM3,Resilience,sts,0.188294712,1240000,0,0.991935484
68,2RLM4,Resilience,sts,0.319427148,290000,0.275862069,0.586206897
69,2RLM5,Resilience,sts,0.174586895,380000,0.026315789,0.526315789
70,2RLM6,Resilience,sts,0.288668976,780000,0.230769231,0.538461538
71,2RLRQ12,Resilience,uncut,0.04739819,0,#DIV/0!,#DIV/0!
72,2RLRQ6,Resilience,uncut,0.086055276,450000,0,0.822222222
73,2RLRT4,Resilience,uncut,0.08502455,1320000,0,0.992424242
74,2RLRT8,Resilience,uncut,0.104554358,70000,0,1
75,2RTM1,Resistance,thin7080,0.243880208,1310000,0.053435115,0.916030534
76,2RTM10,Resistance,thin7080,0.247252747,670000,0,1
77,2RTM11,Resistance,thin7080,0.256822295,1640000,0,1
78,2RTM12,Resistance,thin7080,0.234631829,10000,0,0
79,2RTM2,Resistance,thin7080,0.067572547,940000,0,0.989361702
80,2RTM3,Resistance,thin7080,-0.017216412,570000,0,0.701754386
