PlotID,PlotTR,PlotTY2,DSI,SUM,species,proportion
1CNM1,Control,uncut,0.036817654,240000,YB,0
1CNM1,Control,uncut,0.036817654,240000,SM,1
1CNM10,Control,uncut,0.044946642,1040000,YB,0
1CNM10,Control,uncut,0.044946642,1040000,SM,1
1CNM2,Control,uncut,0.015634006,50000,YB,0
1CNM2,Control,uncut,0.015634006,50000,SM,0
1CNM3,Control,uncut,0.03316777,1110000,YB,0.009009009
1CNM3,Control,uncut,0.03316777,1110000,SM,0.990990991
1CNM4,Control,uncut,0.065326633,1810000,YB,0
1CNM4,Control,uncut,0.065326633,1810000,SM,1
1CNM5,Control,uncut,-0.098930041,70000,YB,0
1CNM5,Control,uncut,-0.098930041,70000,SM,0
1CNM6,Control,uncut,0.000768156,540000,YB,0
1CNM6,Control,uncut,0.000768156,540000,SM,0.944444444
1CNM7,Control,uncut,0.028332372,280000,YB,0
1CNM7,Control,uncut,0.028332372,280000,SM,0.857142857
1CNM8,Control,uncut,0.023301486,610000,YB,0
1CNM8,Control,uncut,0.023301486,610000,SM,0.901639344
1CNM9,Control,uncut,0.010887772,2170000,YB,0
1CNM9,Control,uncut,0.010887772,2170000,SM,1
1RLGQ11,Resilience,gap,0.310193933,610000,YB,0.032786885
1RLGQ11,Resilience,gap,0.310193933,610000,SM,0.770491803
1RLGQ9,Resilience,gap,0.878994709,150000,YB,0
1RLGQ9,Resilience,gap,0.878994709,150000,SM,0
1RLGT1,Resilience,gap,0.03431912,660000,YB,0.303030303
1RLGT1,Resilience,gap,0.03431912,660000,SM,0.696969697
1RLGT5,Resilience,gap,0.853655589,140000,YB,0.714285714
1RLGT5,Resilience,gap,0.853655589,140000,SM,0
1RLM1,Resilience,sts,0.323473541,1850000,YB,0
1RLM1,Resilience,sts,0.323473541,1850000,SM,0.881081081
1RLM2,Resilience,sts,0.080151134,1070000,YB,0.785046729
1RLM2,Resilience,sts,0.080151134,1070000,SM,0.214953271
1RLM3,Resilience,sts,0.054132231,170000,YB,0.058823529
1RLM3,Resilience,sts,0.054132231,170000,SM,0.941176471
1RLM4,Resilience,sts,0.495110701,360000,YB,0.277777778
1RLM4,Resilience,sts,0.495110701,360000,SM,0.638888889
1RLM5,Resilience,sts,0.348710602,710000,YB,0.14084507
1RLM5,Resilience,sts,0.348710602,710000,SM,0.76056338
1RLM6,Resilience,sts,0.03237782,1140000,YB,0
1RLM6,Resilience,sts,0.03237782,1140000,SM,0.912280702
1RLRQ16,Resilience,uncut,0.051505017,260000,YB,0
1RLRQ16,Resilience,uncut,0.051505017,260000,SM,0.846153846
1RLRQ2,Resilience,uncut,0.083262065,230000,YB,0
1RLRQ2,Resilience,uncut,0.083262065,230000,SM,0.869565217
1RLRT5,Resilience,uncut,0.249048626,90000,YB,0
1RLRT5,Resilience,uncut,0.249048626,90000,SM,0
1RLRT9,Resilience,uncut,-0.020147783,1740000,YB,0.005747126
1RLRT9,Resilience,uncut,-0.020147783,1740000,SM,0.965517241
1RTM1,Resistance,thin7080,0.303295622,10000,YB,0
1RTM1,Resistance,thin7080,0.303295622,10000,SM,0
1RTM10,Resistance,thin7080,NA,1730000,YB,0
1RTM10,Resistance,thin7080,NA,1730000,SM,0.976878613
1RTM2,Resistance,thin7080,0.276990099,3320000,YB,0
1RTM2,Resistance,thin7080,0.276990099,3320000,SM,0.972891566
1RTM3,Resistance,thin7080,0.134752128,180000,YB,0
1RTM3,Resistance,thin7080,0.134752128,180000,SM,0.555555556
1RTM4,Resistance,thin7080,0.163815789,1110000,YB,0
1RTM4,Resistance,thin7080,0.163815789,1110000,SM,0.972972973
1RTM5,Resistance,thin7080,0.401908589,3710000,YB,0.345013477
1RTM5,Resistance,thin7080,0.401908589,3710000,SM,0.628032345
1RTM6,Resistance,thin7080,0.164029181,2220000,YB,0
1RTM6,Resistance,thin7080,0.164029181,2220000,SM,0.995495495
1RTM7,Resistance,thin7080,0.287507163,1440000,YB,0.048611111
1RTM7,Resistance,thin7080,0.287507163,1440000,SM,0.694444444
1RTM8,Resistance,thin7080,0.081149663,560000,YB,0
1RTM8,Resistance,thin7080,0.081149663,560000,SM,0.785714286
1RTM9,Resistance,thin7080,0.107486631,440000,YB,0
1RTM9,Resistance,thin7080,0.107486631,440000,SM,0.954545455
1TNGA1,Transition,gap,0.886405006,340000,YB,0.352941176
1TNGA1,Transition,gap,0.886405006,340000,SM,0
1TNGA2,Transition,gap,0.772574703,460000,YB,0.195652174
1TNGA2,Transition,gap,0.772574703,460000,SM,0.065217391
1TNGQ4,Transition,gap,0.808427602,80000,YB,0
1TNGQ4,Transition,gap,0.808427602,80000,SM,0.875
1TNGQ6,Transition,gap,0.859866962,140000,YB,0
1TNGQ6,Transition,gap,0.859866962,140000,SM,0
1TNM1,Transition,thin7080,0.099742666,1900000,YB,0
1TNM1,Transition,thin7080,0.099742666,1900000,SM,0.968421053
1TNM2,Transition,thin7080,0.295939982,240000,YB,0
1TNM2,Transition,thin7080,0.295939982,240000,SM,0.125
1TNM3,Transition,thin7080,0.266454488,1440000,YB,0
1TNM3,Transition,thin7080,0.266454488,1440000,SM,0.958333333
1TNM4,Transition,thin7080,0.385907692,1280000,YB,0.7734375
1TNM4,Transition,thin7080,0.385907692,1280000,SM,0.140625
1TNM5,Transition,thin7080,0.410108644,230000,YB,0.565217391
1TNM5,Transition,thin7080,0.410108644,230000,SM,0
1TNM6,Transition,thin7080,0.000604933,150000,YB,0.266666667
1TNM6,Transition,thin7080,0.000604933,150000,SM,0
1TNM7,Transition,thin7080,0.401417666,1560000,YB,0.012820513
1TNM7,Transition,thin7080,0.401417666,1560000,SM,0.955128205
1TNRQ4,Transition,uncut,0.103722334,1290000,YB,0
1TNRQ4,Transition,uncut,0.103722334,1290000,SM,1
1TNRQ5,Transition,uncut,0.057938719,2150000,YB,0.060465116
1TNRQ5,Transition,uncut,0.057938719,2150000,SM,0.930232558
1TNRQ7,Transition,uncut,0.032164179,1020000,YB,0
