"","Block","PlotID","spp","state","dbh","PlotTY","PlotTR"
"610",1,"1CNM1","ACSA","live",21.1,"ctrlM","Control"
"611",1,"1CNM1","ACSA","live",27.6,"ctrlM","Control"
"612",1,"1CNM1","ACSA","live",25.1,"ctrlM","Control"
"613",1,"1CNM1","ACSA","live",34.5,"ctrlM","Control"
"614",1,"1CNM1","ACSA","live",24.4,"ctrlM","Control"
"615",1,"1CNM1","ACSA","live",10.5,"ctrlM","Control"
"616",1,"1CNM1","ACSA","live",16.9,"ctrlM","Control"
"617",1,"1CNM1","ACSA","live",40.2,"ctrlM","Control"
"618",1,"1CNM1","ACSA","live",35.7,"ctrlM","Control"
"619",1,"1CNM1","ACSA","live",37.7,"ctrlM","Control"
"620",1,"1CNM1","ACSA","live",12.2,"ctrlM","Control"
"621",1,"1CNM1","ACSA","live",32,"ctrlM","Control"
"622",1,"1CNM1","ACSA","live",20.5,"ctrlM","Control"
"623",1,"1CNM1","BEAL","live",14.3,"ctrlM","Control"
"624",1,"1CNM1","BEAL","live",15.2,"ctrlM","Control"
"625",1,"1CNM1","ACSA","live",26.7,"ctrlM","Control"
"626",1,"1CNM1","ACSA","live",26.1,"ctrlM","Control"
"627",1,"1CNM1","ACSA","live",12.8,"ctrlM","Control"
"628",1,"1CNM1","ACSA","live",19.7,"ctrlM","Control"
"629",1,"1CNM10","ACSA","live",32.8,"ctrlM","Control"
"630",1,"1CNM10","ACSA","live",15.1,"ctrlM","Control"
"631",1,"1CNM10","FAGR","live",17.5,"ctrlM","Control"
"632",1,"1CNM10","ACSA","live",43,"ctrlM","Control"
"633",1,"1CNM10","ACSA","live",10.9,"ctrlM","Control"
"634",1,"1CNM10","BEAL","live",11.3,"ctrlM","Control"
"635",1,"1CNM10","BEAL","live",23.6,"ctrlM","Control"
"636",1,"1CNM10","BEAL","live",15.1,"ctrlM","Control"
"637",1,"1CNM10","ACSA","live",11,"ctrlM","Control"
"638",1,"1CNM10","BEAL","live",19.5,"ctrlM","Control"
"639",1,"1CNM10","ACSA","live",32.2,"ctrlM","Control"
"640",1,"1CNM10","ACSA","live",28,"ctrlM","Control"
"641",1,"1CNM10","ACSA","live",39,"ctrlM","Control"
"642",1,"1CNM10","ACSA","live",23.6,"ctrlM","Control"
"643",1,"1CNM10","BEAL","live",16.2,"ctrlM","Control"
"644",1,"1CNM10","BEAL","live",15.5,"ctrlM","Control"
"645",1,"1CNM10","BEAL","live",18,"ctrlM","Control"
"646",1,"1CNM10","ACSA","live",43.7,"ctrlM","Control"
"647",1,"1CNM2","ACSA","live",30.8,"ctrlM","Control"
"648",1,"1CNM2","BEAL","live",16.2,"ctrlM","Control"
"649",1,"1CNM2","BEAL","live",20.3,"ctrlM","Control"
"650",1,"1CNM2","ACSA","live",11.5,"ctrlM","Control"
"651",1,"1CNM2","ACSA","live",16.7,"ctrlM","Control"
"652",1,"1CNM2","ACRU","live",12.7,"ctrlM","Control"
"653",1,"1CNM2","ACRU","live",14.8,"ctrlM","Control"
"654",1,"1CNM2","ACRU","live",14.3,"ctrlM","Control"
"655",1,"1CNM2","FAGR","live",14.6,"ctrlM","Control"
"656",1,"1CNM2","ACSA","live",17,"ctrlM","Control"
"657",1,"1CNM2","ACSA","live",17.8,"ctrlM","Control"
"658",1,"1CNM2","ACRU","live",17.4,"ctrlM","Control"
"659",1,"1CNM2","ACRU","live",23,"ctrlM","Control"
"660",1,"1CNM2","ACSA","live",23.4,"ctrlM","Control"
"661",1,"1CNM2","ACSA","live",34,"ctrlM","Control"
"662",1,"1CNM2","BEAL","live",16.4,"ctrlM","Control"
"663",1,"1CNM2","ACSA","live",17.5,"ctrlM","Control"
"664",1,"1CNM2","BECO","live",10.6,"ctrlM","Control"
"665",1,"1CNM2","FAGR","live",19.2,"ctrlM","Control"
"666",1,"1CNM2","ACRU","live",15.3,"ctrlM","Control"
"667",1,"1CNM2","FAGR","live",12.3,"ctrlM","Control"
"668",1,"1CNM2","ACSA","live",11.9,"ctrlM","Control"
"669",1,"1CNM2","ACSA","live",26.6,"ctrlM","Control"
"670",1,"1CNM2","ACSA","live",38.2,"ctrlM","Control"
"671",1,"1CNM2","FAGR","live",12.5,"ctrlM","Control"
"672",1,"1CNM2","BEAL","live",12.7,"ctrlM","Control"
"673",1,"1CNM2","FAGR","live",16.1,"ctrlM","Control"
"674",1,"1CNM2","FAGR","live",13.5,"ctrlM","Control"
"675",1,"1CNM2","BEAL","live",12.5,"ctrlM","Control"
"676",1,"1CNM3","ACSA","live",26.6,"ctrlM","Control"
"677",1,"1CNM3","BEAL","live",12.6,"ctrlM","Control"
"678",1,"1CNM3","ACSA","live",31,"ctrlM","Control"
